# Fields: Hash, Region, Board, PCB, Chip, Mapper, PrgRomSize, ChrRomSize, ChrRamSize, PrgRamSize, Battery, Mirroring, SubMapper, Title
15512297719752000138,NTSC,,,,4,8,16,0,0,false,Horizontal,0,"Young Indiana Jones Chronicles, The (USA).nes"
15550969787359201034,NTSC,,,,1,8,4,0,2,true,SingleScreenA,0,"Daisenryaku (Japan).nes"
15551868847161672748,NTSC,,,,3,2,4,0,0,false,Vertical,0,"Sanrio Cup - Pon Pon Volley (Japan).nes"
15562700647376888080,PAL,,,,2,16,0,1,0,false,Horizontal,0,"Paperboy 2 (Europe).nes"
15564681780299137479,NTSC,,,,1,8,16,0,2,false,SingleScreenA,0,"Bugs Bunny Fun House (USA) (Beta).nes"
15570256557511120335,NTSC,,,,4,16,16,0,0,false,Horizontal,0,"Super Mario Bros. 3 (Japan) (Rev A).nes"
15570898719070258683,NTSC,,,,1,2,4,0,2,false,SingleScreenA,0,"Taboo - The Sixth Sense (USA) (Rev A).nes"
15574702411486382509,PAL,,,,2,8,0,1,0,false,Vertical,0,"Mega Man (Europe).nes"
15577421217014433489,NTSC,,,,4,8,16,0,0,false,Vertical,0,"Sou Setsu Ryuu II - The Revenge (Japan) (Beta).nes"
15577609257080207116,NTSC,,,,4,16,0,1,0,false,Horizontal,0,"Wily & Right no Rockboard - That\'s Paradise (Japan).nes"
15584036159875081501,NTSC,,,,0,1,1,0,0,false,Horizontal,0,"BurgerTime (Japan).nes"
15584813168766233140,PAL,,,,1,8,4,0,2,false,SingleScreenA,0,"Chessmaster, The (Europe).nes"
15601408951699781125,PAL,,,,4,8,16,0,0,false,Horizontal,0,"Rollergames (Europe).nes"
15601752860396935793,PAL,,,,4,8,16,0,0,false,Horizontal,0,"Rockin\' Kats (Europe).nes"
15607958893112001390,NTSC,,,,0,2,1,0,0,false,Horizontal,0,"Magmax (Japan).nes"
15617263825795128481,NTSC,,,,4,8,16,0,0,false,Horizontal,0,"Batman - The Video Game (USA) (Beta 1).nes"
15634184579852929412,PAL,,,,0,2,1,0,0,false,Horizontal,0,"Xevious (Europe).nes"
15637061671664550010,NTSC,,,,4,8,16,0,0,true,Horizontal,0,"Solomon no Kagi 2 - Coolmintou Kyuushutsu Sakusen (Japan).nes"
15646742636922252163,NTSC,,,,7,16,0,1,0,false,Horizontal,0,"Battletoads (USA).nes"
15648015608023941742,NTSC,,,,1,16,0,1,2,true,SingleScreenA,0,"Maison Ikkoku (Japan).nes"
15675030174075630569,NTSC,,,,4,8,16,0,0,false,Horizontal,0,"Crash \'n\' the Boys - Street Challenge (USA).nes"
15677495831552318611,NTSC,,,,1,8,16,0,2,false,SingleScreenA,0,"Untouchables, The (USA).nes"
15678888378256798122,NTSC,,,,1,16,0,1,2,false,SingleScreenA,0,"Captain ED (Japan).nes"
15688565330396445351,NTSC,,,,2,8,0,1,0,false,Vertical,0,"DuckTales (USA) (Beta).nes"
15692556874894260291,PAL,,,,1,8,0,1,2,true,SingleScreenA,0,"Elite (Europe) (En,Fr,De).nes"
15704451904829916341,NTSC,,,,4,8,32,0,0,false,Horizontal,0,"Silver Surfer (USA).nes"
15705948772501291385,NTSC,,,,0,1,1,0,0,false,Vertical,0,"Millipede - Kyodai Konchuu no Gyakushuu (Japan).nes"
15712398715604813532,NTSC,,,,1,8,16,0,2,false,SingleScreenA,0,"Hoops (USA).nes"
15713438161923580421,NTSC,,,,3,2,2,0,0,false,Vertical,0,"Tetris (USA) (Unl).nes"
15721168846333886547,NTSC,,,,1,16,0,1,2,true,SingleScreenA,0,"Ultima - Quest of the Avatar (USA).nes"
15722367220607531064,NTSC,,,,1,16,0,1,2,false,SingleScreenA,0,"Robin Hood - Prince of Thieves (Germany).nes"
15726483297141320281,NTSC,,,,1,8,0,1,2,false,SingleScreenA,0,"Tanigawa Kouji no Shougi Shinan III (Japan).nes"
15734135896601313288,NTSC,,,,4,16,16,0,0,false,Horizontal,0,"Krusty\'s Fun House (USA).nes"
15741406484105227027,NTSC,,,,1,8,16,0,2,false,SingleScreenA,0,"Street Cop (USA).nes"
15755526438898789846,NTSC,,,,0,2,1,0,0,false,Vertical,0,"Volguard II (Japan).nes"
15759160750700320285,NTSC,,,,1,8,16,0,2,false,SingleScreenA,0,"Datsugoku (Japan).nes"
15771201468960411012,NTSC,,,,1,8,16,0,2,false,SingleScreenA,0,"Adventures of Bayou Billy, The (USA).nes"
15773722796236821816,NTSC,,,,1,8,16,0,2,true,SingleScreenA,0,"Cosmo Police Galivan (Japan).nes"
15774077794204187072,NTSC,,,,3,2,2,0,0,false,Horizontal,0,"TwinBee (Japan).nes"
15784223375991579394,NTSC,,,,1,16,0,1,2,false,SingleScreenA,0,"Bionic Commando (USA).nes"
15798179964265965952,NTSC,,,,2,8,0,1,0,false,Vertical,0,"Ginga no Sannin (Japan).nes"
15808746000475579233,NTSC,,,,4,8,32,0,0,false,Horizontal,0,"G.I. Joe - A Real American Hero (USA).nes"
15820991243988523166,NTSC,,,,2,8,0,1,0,false,Horizontal,0,"Jimmy Connors Tennis (USA).nes"
15821668447492608807,NTSC,,,,1,8,0,1,2,false,SingleScreenA,0,"Tanigawa Kouji no Shougi Shinan II (Japan).nes"
15835750517415591602,NTSC,,,,3,2,8,0,0,false,Horizontal,0,"AV Pachi-Slot (Japan) (Unl).nes"
15841634539391000715,NTSC,,,,66,8,4,0,0,false,Vertical,0,"Doraemon (Japan) (Rev A).nes"
15848183359323030852,NTSC,,,,1,8,16,0,2,true,SingleScreenA,0,"Tao (Japan).nes"
15849395542934454216,NTSC,,,,0,2,1,0,0,false,Horizontal,0,"Stack-Up (World).nes"
15850189316647696516,NTSC,,,,4,8,32,0,0,true,Horizontal,0,"Daikaijuu Deburas (Japan).nes"
15856453803631732831,NTSC,,,,1,2,4,0,2,false,SingleScreenA,0,"Palamedes (USA).nes"
15869163845347545768,NTSC,,,,1,8,16,0,2,false,SingleScreenA,0,"Pennant League!! - Home Run Nighter (Japan).nes"
15872241264302037540,NTSC,,,,1,8,16,0,2,false,SingleScreenA,0,"Wrath of the Black Manta (USA).nes"
15896784147119641693,NTSC,,,,2,8,0,1,0,false,Vertical,0,"SWAT - Special Weapons and Tactics (Japan).nes"
15897286357050703943,NTSC,,,,2,8,0,1,0,false,Vertical,0,"Ghosts\'n Goblins (USA).nes"
15900114982761657649,NTSC,,,,2,8,0,1,0,true,Horizontal,0,"Rainbow Islands - The Story of Bubble Bobble 2 (Japan) (Sample).nes"
15902139617365351179,NTSC,,,,9,8,16,0,0,false,Horizontal,0,"Punch-Out!! (Japan) (Gold Edition).nes"
15906608464366968321,NTSC,,,,4,8,16,0,0,false,Horizontal,0,"Little Nemo - The Dream Master (USA).nes"
15914220505837816149,NTSC,,,,2,8,0,1,0,false,Vertical,0,"Rygar (USA).nes"
15915526765363463738,PAL,,,,1,8,16,0,2,false,SingleScreenA,0,"Castlevania II - Simon\'s Quest (Europe).nes"
15922078741473270627,NTSC,,,,4,8,16,0,0,false,Horizontal,0,"Pachi-Slot Adventure 3 - Bitaoshii 7 Kenzan! (Japan).nes"
15929677051492257386,NTSC,,,,1,16,0,1,2,false,SingleScreenA,0,"Mega Man 2 (USA).nes"
15936327291566870567,NTSC,,,,0,16,16,0,0,false,Horizontal,0,"Super Cartridge Ver 6 - 6 in 1 (Asia) (Unl).nes"
15947764216422742362,NTSC,,,,4,16,32,0,0,false,Horizontal,0,"Teenage Mutant Ninja Turtles II - The Arcade Game (USA).nes"
15951277600693304993,NTSC,,,,4,16,32,0,0,false,Horizontal,0,"F-15 Strike Eagle (Germany).nes"
15953844755716887682,NTSC,,,,4,8,32,0,0,true,Horizontal,0,"Deja Vu (Sweden).nes"
15963500780905522439,NTSC,,,,1,2,4,0,2,false,SingleScreenA,0,"R.C. Pro-Am (USA) (Rev A).nes"
15966426714275009340,NTSC,,,,4,8,16,0,0,false,Horizontal,0,"Seiryaku Simulation - Inbou no Wakusei - Shancara (Japan).nes"
15968945646543986024,NTSC,,,,4,8,16,0,0,false,Vertical,0,"Mickey Mouse - Dream Balloon (USA) (Beta).nes"
15969468351726197519,NTSC,,,,4,16,16,0,0,true,Horizontal,0,"Mahjong Taisen (Japan).nes"
15972685632648334652,NTSC,,,,3,2,1,0,0,false,Horizontal,0,"Porter (Asia) (Unl).nes"
15978298820531647233,NTSC,,,,1,32,0,1,2,true,SingleScreenA,0,"Dragon Quest IV - Michibikareshi Monotachi (Japan).nes"
15985227125689871439,PAL,,,,0,8,16,0,0,false,Horizontal,0,"Silver Eagle (Asia) (PAL) (Unl).nes"
15999285958712893244,NTSC,,,,2,8,0,1,0,false,Horizontal,0,"Ide Yousuke Meijin no Jissen Mahjong (Japan) (Rev A).nes"
16000227341712061705,PAL,,,,2,8,0,1,0,false,Vertical,0,"Skate or Die (Europe).nes"
16011766617783372717,NTSC,,,,4,8,16,0,0,false,Horizontal,0,"Pajama Hero - Nemo (Japan).nes"
16015503050176056126,NTSC,,,,2,8,0,1,0,false,Vertical,0,"Outlanders (Japan).nes"
16022427282315645650,PAL,,,,1,8,16,0,2,false,SingleScreenA,0,"Snowboard Challenge (Europe).nes"
16023396905178909751,NTSC,,,,3,2,4,0,0,false,Vertical,0,"Fisher-Price - I Can Remember (USA).nes"
16026119217392480293,NTSC,,,,1,8,16,0,2,false,SingleScreenA,0,"Blaster Master (USA).nes"
16027304803920152735,NTSC,,,,1,8,16,0,2,true,SingleScreenA,0,"Dungeon Magic - Sword of the Elements (USA).nes"
16038032335649031599,NTSC,,,,4,16,16,0,0,false,Vertical,0,"Mega Man 3 (USA) (Beta).nes"
16039721241689827023,NTSC,,,,2,8,0,1,0,false,Vertical,0,"WWF Wrestlemania Challenge (Japan).nes"
16044128761699496193,NTSC,,,,4,16,16,0,0,true,Horizontal,0,"Ys II - Ancient Ys Vanished - The Final Chapter (Japan).nes"
16058203844744124258,NTSC,,,,1,8,16,0,2,false,SingleScreenA,0,"Pictionary - The Game of Video Quick Draw (USA).nes"
16060976903376418307,PAL,,,,2,8,0,1,0,false,Horizontal,0,"Crackout (Europe).nes"
16084867114479650111,NTSC,,,,1,2,4,0,2,false,SingleScreenA,0,"Dr. Mario (USA) (Beta) (1990-04-27).nes"
16097028637668382781,NTSC,,,,4,8,8,0,0,false,Horizontal,0,"Family Mahjong II - Shanghai e no Michi (Japan).nes"
16098722152061031770,NTSC,,,,2,8,0,1,0,false,Vertical,0,"Pro Wrestling (USA).nes"
16105084424129052696,NTSC,,,,4,4,8,0,0,false,Horizontal,0,"Tecmo World Cup Soccer (Japan).nes"
16113223700086470098,NTSC,,,,1,4,16,0,2,false,SingleScreenA,0,"Knight Rider (Japan).nes"
16117978661665602346,NTSC,,,,1,16,0,1,2,false,SingleScreenA,0,"Robin Hood - Prince of Thieves (USA).nes"
16129897361590795637,NTSC,,,,3,2,4,0,0,false,Vertical,0,"Hottarman no Chitei Tanken (Japan).nes"
16133495990202995551,PAL,,,,1,2,4,0,2,false,SingleScreenA,0,"Snake Rattle n Roll (Europe).nes"
16137959783307252033,NTSC,,,,71,16,0,1,0,false,Vertical,0,"Micro Machines (USA) (Aladdin Compact Cartridge) (Unl).nes"
16138310245586512338,NTSC,,,,155,8,4,0,2,false,SingleScreenA,0,"Money Game, The (Japan).nes"
16138731594608097310,NTSC,,,,1,8,16,0,2,true,SingleScreenA,0,"Zelda II - The Adventure of Link (USA).nes"
16143172576408900321,NTSC,,,,1,8,16,0,2,false,SingleScreenA,0,"Tecmo Bowl (USA) (Rev A).nes"
16143538515120041368,NTSC,,,,1,8,16,0,2,false,SingleScreenA,0,"Cobra Command (Japan).nes"
